location_id,Max_dn,ISP_Max_dn,Max_up,ISP_Max_up,BEAD_status,address
1289817182,,,,, served,13027 WELLS FARGO DR GROVELAND CA
1289817183,25,AT&T,3,AT&T, served,12839 MUELLER DR GROVELAND CA
1289817184,,,,, served,12986 WELLS FARGO DR GROVELAND CA
1289817185,,,,, served,13107 WELLS FARGO DR GROVELAND CA
1289817186,10,AT&T,<1,AT&T, served,13015 WELLS FARGO DR GROVELAND CA
1289817187,,,,, served,13235 WELLS FARGO DR GROVELAND CA
1289817188,10,AT&T,<1,AT&T, served,12834 MUELLER DR GROVELAND CA
1289817189,,,,, served,13210 WELLS FARGO DR GROVELAND CA
1289817190,,,,, served,19561 COTTONWOOD ST GROVELAND CA
1289817191,,,,, served,13151 WELLS FARGO DR GROVELAND CA
1289817192,10,AT&T,<1,AT&T, served,13026 MOEKLUMNES CIR GROVELAND CA
1289817193,10,AT&T,<1,AT&T, served,19424 FERRETTI RD GROVELAND CA
1289817194,10,AT&T,<1,AT&T, served,13100 WELLS FARGO DR GROVELAND CA
1289817195,,,,, served,13166 WELLS FARGO DR GROVELAND CA
1289817196,25,AT&T,3,AT&T, served,12832 MUELLER DR GROVELAND CA
1289817197,10,AT&T,<1,AT&T, served,12829 MUELLER DR GROVELAND CA
1289817198,10,AT&T,<1,AT&T, served,13103 MOEKLUMNES CIR GROVELAND CA
1289817199,,,,, served,19425 FERRETTI RD GROVELAND CA
1289817200,10,AT&T,<1,AT&T, served,13023 MOEKLUMNES CIR GROVELAND CA
1289817201,,,,, served,12958 WELLS FARGO DR GROVELAND CA
1289817202,,,,, served,19557 COTTONWOOD ST GROVELAND CA
1289817203,,,,, served,13199 WELLS FARGO DR GROVELAND CA
1289817204,10,AT&T,<1,AT&T, served,13061 MOEKLUMNES CIR GROVELAND CA
1289817205,,,,, served,19418 FERRETTI RD GROVELAND CA
1289817206,10,Verizon,1,Verizon, served,19676 FERRETTI RD GROVELAND CA
1289817207,10,AT&T,<1,AT&T, served,13016 MOEKLUMNES CIR GROVELAND CA
1289817208,10,AT&T,<1,AT&T, served,13086 MOEKLUMNES CIR GROVELAND CA
1289817209,,,,, served,13201 WELLS FARGO DR GROVELAND CA
1289817210,,,,, served,19435 FERRETTI RD GROVELAND CA
1289817211,10,AT&T,<1,AT&T, served,13007 WELLS FARGO DR GROVELAND CA
1289817212,10,AT&T,<1,AT&T, served,12835 MUELLER DR GROVELAND CA
1289817213,,,,, served,19551 COTTONWOOD ST GROVELAND CA
1289817215,10,AT&T,<1,AT&T, served,13020 WELLS FARGO DR GROVELAND CA
1289817216,10,AT&T,<1,AT&T, served,13133 WELLS FARGO DR GROVELAND CA
